opportunity_id,account_id,sales_rep_id,stage_id,lead_source_id,industry_id,region_id,opportunity_value_usd,weighted_pipeline_value,created_date,stage_entry_date,stage_exit_date,closed_date,is_won,is_lost,loss_reason,days_in_stage,days_to_close,sales_cycle_days,forecast_amount_usd,forecast_stage,forecast_close_date,is_forecast_accurate,forecast_accuracy_variance_pct,proposal_template_version
34,177,11,4,4,1,1,113266,93878,2024-12-11,2024-12-11,2025-01-07,2025-03-03,0,1,Timing,18,12,100,155638,Negotiation,2025-03-05,1,0,new
35,282,3,5,4,1,1,25488,226386,2024-05-24,2024-05-24,2024-07-21,2024-07-12,1,0,Competitor,35,7,42,82425,Negotiation,2024-08-30,1,0,new
36,306,3,5,1,1,1,21544,31278,2023-07-19,2023-07-19,2023-08-09,2023-11-14,0,0,Timing,13,113,61,58228,Negotiation,2023-09-08,0,1,new
37,40,11,2,2,1,1,48147,27946,2024-09-03,2024-09-03,2024-10-05,2024-11-09,0,0,Timing,73,7,81,235431,Negotiation,2025-01-06,1,0,new
38,265,7,6,4,1,1,57483,209896,2023-06-19,2023-06-19,2023-08-28,2023-07-29,0,0,Budget,72,10,69,145447,Negotiation,2023-11-04,1,0,new
39,187,3,5,3,1,1,63500,33941,2023-04-16,2023-04-16,2023-05-17,2023-05-11,0,1,No Decision,115,46,39,26343,Negotiation,2023-05-07,1,1,new
40,42,5,2,2,1,1,77928,101751,2023-04-08,2023-04-08,2023-04-28,2023-07-22,0,0,Budget,97,38,24,147954,Negotiation,2023-06-24,1,1,new
41,279,12,6,1,1,1,204968,23323,2024-04-05,2024-04-05,2024-05-08,2024-07-22,0,0,No Decision,69,39,32,29651,Negotiation,2024-05-24,0,1,new
42,36,12,2,1,1,1,105975,216152,2023-10-10,2023-10-10,2023-11-04,2024-02-04,0,1,No Decision,32,69,62,108773,Negotiation,2024-01-23,0,1,new
43,93,11,6,2,1,1,146521,33217,2023-12-02,2023-12-02,2024-01-12,2024-01-20,0,0,Budget,72,32,35,73592,Negotiation,2024-02-05,1,1,new
44,196,9,5,1,1,1,149317,15373,2024-12-22,2024-12-22,2025-02-22,2025-04-19,0,1,Budget,69,88,8,15354,Negotiation,2025-01-14,1,0,new
45,101,8,6,1,1,1,198146,67735,2024-02-18,2024-02-18,2024-03-20,2024-05-01,0,0,No Decision,119,87,7,220425,Negotiation,2024-06-06,0,1,new
46,194,11,6,2,1,1,209711,125162,2023-05-20,2023-05-20,2023-06-25,2023-08-19,1,0,No Decision,23,98,30,198678,Negotiation,2023-09-21,1,0,new
47,29,6,5,1,1,1,140006,69497,2024-04-26,2024-04-26,2024-05-10,2024-07-02,0,1,Competitor,64,108,100,141779,Negotiation,2024-08-18,1,1,new
48,73,11,6,1,1,1,21293,146665,2023-12-22,2023-12-22,2024-02-29,2024-03-25,0,0,No Decision,66,6,28,117385,Negotiation,2024-01-13,1,1,new
49,317,5,7,3,1,1,41797,20562,2024-08-22,2024-08-22,2024-10-22,2024-09-22,0,0,No Decision,41,102,45,189547,Negotiation,2024-10-11,1,1,new
50,83,10,6,3,1,1,15739,78673,2023-02-06,2023-02-06,2023-02-27,2023-03-08,0,1,Budget,54,85,55,140123,Negotiation,2023-03-06,1,0,new
51,103,11,5,2,1,1,38283,34637,2023-03-22,2023-03-22,2023-04-01,2023-05-23,1,0,Timing,82,42,10,23196,Negotiation,2023-05-06,1,1,new
52,225,9,7,4,1,1,55972,38585,2024-10-05,2024-10-05,2024-11-14,2024-12-07,0,0,No Decision,6,110,97,17917,Negotiation,2025-01-01,0,0,new
53,28,10,2,2,1,1,28398,42358,2023-04-10,2023-04-10,2023-04-16,2023-06-05,0,0,No Decision,70,74,101,63414,Negotiation,2023-06-12,0,0,new
54,53,4,5,4,1,1,142648,76155,2024-08-06,2024-08-06,2024-09-11,2024-11-18,0,0,Timing,38,40,13,111439,Negotiation,2024-09-13,1,0,new
55,181,7,6,2,1,1,45709,94145,2024-09-19,2024-09-19,2024-10-13,2024-11-04,0,0,Timing,85,35,55,112674,Negotiation,2024-12-29,1,1,new
56,277,8,5,2,1,1,224991,148924,2023-04-22,2023-04-22,2023-05-18,2023-05-23,1,0,Timing,18,45,85,236000,Negotiation,2023-05-12,1,1,new
57,201,5,5,3,1,1,18355,222438,2024-12-11,2024-12-11,2024-12-21,2025-01-13,1,0,Competitor,66,64,21,150306,Negotiation,2025-01-09,1,1,new
58,6,2,2,3,1,1,26541,26737,2024-08-13,2024-08-13,2024-11-02,2024-11-07,0,0,Budget,90,61,16,68696,Negotiation,2024-12-21,0,0,new
59,173,12,4,3,1,1,208882,70081,2024-06-23,2024-06-23,2024-08-13,2024-09-05,1,0,No Decision,55,13,10,36179,Negotiation,2024-10-30,1,0,new
60,119,5,5,1,1,1,38846,101890,2023-05-29,2023-05-29,2023-07-30,2023-07-08,0,1,Competitor,115,86,91,19911,Negotiation,2023-08-30,1,1,new
61,31,11,6,3,1,1,205944,225365,2024-01-25,2024-01-25,2024-02-25,2024-05-16,0,0,Timing,12,15,82,47822,Negotiation,2024-05-16,0,0,new
62,233,5,6,2,1,1,31221,108992,2023-01-23,2023-01-23,2023-02-20,2023-03-04,0,1,Competitor,60,69,117,182830,Negotiation,2023-04-26,1,1,new
63,264,4,5,2,1,1,37528,74439,2024-06-19,2024-06-19,2024-07-30,2024-07-17,0,0,Timing,67,114,111,172606,Negotiation,2024-09-24,0,0,new
64,171,6,5,2,1,1,146108,104266,2023-11-11,2023-11-11,2023-12-20,2024-02-17,0,0,Competitor,21,102,27,73126,Negotiation,2023-12-01,0,1,new
65,153,10,6,2,1,1,40035,223994,2023-02-02,2023-02-02,2023-04-09,2023-06-19,1,0,No Decision,18,108,62,138042,Negotiation,2023-06-02,1,1,new
66,73,12,6,2,1,1,154248,46187,2024-07-02,2024-07-02,2024-08-24,2024-10-10,0,1,Budget,15,45,46,55406,Negotiation,2024-09-18,0,0,new
67,264,12,1,1,1,1,154140,223424,2023-06-18,2023-06-18,2023-07-29,2023-10-18,1,0,Budget,16,117,88,152199,Negotiation,2023-08-10,0,0,new
68,277,11,6,4,1,1,80364,240228,2024-05-09,2024-05-09,2024-07-14,2024-06-06,0,0,Budget,83,81,99,143311,Negotiation,2024-09-06,0,1,new
69,306,8,1,3,1,1,95240,148691,2024-11-06,2024-11-06,2025-01-14,2025-03-09,1,0,Competitor,97,40,9,156613,Negotiation,2025-01-15,1,0,new
70,198,2,6,1,1,1,113001,201807,2024-04-12,2024-04-12,2024-05-23,2024-06-16,1,0,Budget,66,37,34,15621,Negotiation,2024-07-03,1,1,new
71,94,4,5,2,1,1,95926,120577,2024-11-10,2024-11-10,2024-12-28,2025-03-23,0,1,Competitor,110,59,37,63530,Negotiation,2025-01-25,1,0,new
72,308,6,2,4,1,1,206928,114426,2024-02-18,2024-02-18,2024-04-14,2024-04-22,1,0,Budget,95,5,108,206462,Negotiation,2024-05-31,1,0,new
73,265,3,2,1,1,1,37651,19083,2023-01-02,2023-01-02,2023-01-08,2023-05-08,1,0,Competitor,80,68,117,164110,Negotiation,2023-01-24,1,1,new
74,261,7,1,4,1,1,172899,64501,2023-04-14,2023-04-14,2023-06-26,2023-08-11,0,1,No Decision,116,87,84,205928,Negotiation,2023-07-21,0,1,new
75,177,1,3,4,1,1,225648,40899,2024-06-18,2024-06-18,2024-08-26,2024-10-14,1,0,No Decision,11,117,108,123360,Negotiation,2024-08-11,0,0,new
76,265,5,5,3,1,1,35612,36085,2023-10-20,2023-10-20,2024-01-02,2023-11-20,1,0,Timing,8,63,89,19016,Negotiation,2023-11-14,1,1,new
77,215,11,5,3,1,1,89913,118902,2024-11-24,2024-11-24,2025-01-20,2025-03-22,1,0,Competitor,111,16,95,138532,Negotiation,2025-01-09,0,1,new
78,63,4,6,4,1,1,181869,24819,2024-04-12,2024-04-12,2024-05-12,2024-08-13,0,0,No Decision,83,24,117,36137,Negotiation,2024-05-26,1,1,new
79,204,12,7,3,1,1,74211,96072,2023-07-21,2023-07-21,2023-09-10,2023-10-03,1,0,Budget,95,56,30,130831,Negotiation,2023-08-26,0,0,new
80,158,2,6,3,1,1,34033,242040,2024-02-28,2024-02-28,2024-04-23,2024-04-03,0,1,Timing,111,48,33,145144,Negotiation,2024-07-17,0,0,new
81,52,1,6,1,1,1,36849,49099,2024-04-16,2024-04-16,2024-05-22,2024-08-25,1,0,Timing,106,113,70,88997,Negotiation,2024-06-15,1,0,new
82,6,4,5,2,1,1,39750,218073,2024-07-03,2024-07-03,2024-08-22,2024-08-29,0,1,Budget,88,114,33,109226,Negotiation,2024-08-05,1,1,new
83,126,11,2,2,1,1,223863,25770,2024-04-27,2024-04-27,2024-06-21,2024-07-26,1,0,No Decision,76,114,7,216134,Negotiation,2024-08-17,1,1,new
84,183,5,6,2,1,1,67141,131021,2023-08-18,2023-08-18,2023-09-21,2023-10-17,1,0,Competitor,19,50,115,230395,Negotiation,2023-12-29,1,1,new
85,191,5,4,2,1,1,128773,168626,2024-04-23,2024-04-23,2024-05-10,2024-06-11,1,0,Competitor,26,85,73,62934,Negotiation,2024-07-20,1,1,new
86,33,2,1,2,1,1,77893,75845,2024-12-02,2024-12-02,2024-12-19,2025-03-12,0,1,Budget,56,26,50,112046,Negotiation,2025-03-18,1,0,new
87,27,11,6,4,1,1,15323,48035,2023-11-21,2023-11-21,2023-12-29,2024-01-01,0,1,Budget,11,63,88,65059,Negotiation,2024-03-14,1,1,new
88,93,5,6,4,1,1,83089,31805,2023-04-05,2023-04-05,2023-04-21,2023-05-10,0,1,Budget,35,119,48,240490,Negotiation,2023-05-11,1,1,new
89,278,4,6,2,1,1,25513,40199,2024-11-26,2024-11-26,2024-12-10,2025-03-21,0,1,No Decision,67,97,97,15900,Negotiation,2025-04-03,1,0,new
90,201,12,5,1,1,1,208188,193629,2024-10-24,2024-10-24,2024-12-06,2025-02-01,1,0,No Decision,57,101,25,48165,Negotiation,2024-12-10,0,0,new
91,241,5,6,1,1,1,56572,47661,2023-04-20,2023-04-20,2023-05-23,2023-07-09,1,0,Competitor,83,114,66,37077,Negotiation,2023-06-07,0,0,new
92,79,5,4,4,1,1,116194,110477,2024-05-21,2024-05-21,2024-07-21,2024-06-12,1,0,Competitor,33,60,74,98459,Negotiation,2024-08-08,0,0,new
93,172,11,2,1,1,1,15741,34405,2023-03-16,2023-03-16,2023-06-11,2023-05-12,1,0,No Decision,49,107,74,98701,Negotiation,2023-07-04,1,1,new
94,250,11,5,4,1,1,147092,235931,2024-10-20,2024-10-20,2024-12-12,2025-02-06,0,0,Timing,69,88,51,83845,Negotiation,2024-11-14,1,1,new
95,243,8,6,2,1,1,214670,87065,2024-02-25,2024-02-25,2024-03-23,2024-06-17,1,0,Budget,60,27,55,149768,Negotiation,2024-05-26,0,1,new
96,27,2,1,1,1,1,221773,34401,2024-12-29,2024-12-29,2025-03-26,2025-04-29,0,0,Competitor,64,90,97,16832,Negotiation,2025-02-12,0,1,new
97,47,5,5,3,1,1,236603,40157,2024-12-12,2024-12-12,2024-12-22,2025-02-23,0,0,Timing,86,101,104,42693,Negotiation,2025-03-21,1,1,new
98,158,10,6,4,1,1,175878,125726,2023-01-15,2023-01-15,2023-04-04,2023-02-04,0,1,Budget,46,93,19,239236,Negotiation,2023-04-17,1,0,new
99,50,7,6,3,1,1,194746,82713,2023-09-09,2023-09-09,2023-11-09,2023-11-25,0,0,Competitor,61,43,100,112289,Negotiation,2023-11-27,0,1,new
100,21,6,5,3,1,1,157298,241081,2023-12-29,2023-12-29,2024-01-26,2024-03-18,0,0,Timing,110,52,117,30100,Negotiation,2024-02-15,0,1,new
101,297,7,1,1,1,1,129920,145333,2024-03-14,2024-03-14,2024-04-22,2024-07-28,0,1,Competitor,53,72,98,26859,Negotiation,2024-06-04,1,0,new
102,251,11,5,4,1,1,35144,172225,2024-12-19,2024-12-19,2025-02-14,2025-04-01,1,0,Competitor,51,105,47,45429,Negotiation,2025-04-16,0,1,new
103,301,10,6,1,1,1,71607,86723,2023-02-16,2023-02-16,2023-04-08,2023-06-04,0,1,Timing,9,112,29,39963,Negotiation,2023-05-22,1,1,new
104,115,7,4,1,1,1,149129,19443,2023-01-03,2023-01-03,2023-02-24,2023-01-28,0,1,Budget,112,47,9,31814,Negotiation,2023-05-05,0,1,new
105,226,6,5,1,1,1,45124,26674,2024-04-19,2024-04-19,2024-04-29,2024-08-21,1,0,Timing,58,108,10,57615,Negotiation,2024-08-15,1,1,new
106,29,3,5,1,1,1,245598,144336,2024-04-29,2024-04-29,2024-06-10,2024-07-19,0,0,Competitor,74,114,17,84407,Negotiation,2024-07-18,0,0,new
107,173,3,5,1,1,1,116011,18986,2023-02-11,2023-02-11,2023-04-28,2023-03-28,0,0,Competitor,94,21,99,45150,Negotiation,2023-03-27,0,0,new
108,37,2,4,1,1,1,132154,217901,2024-01-29,2024-01-29,2024-04-09,2024-04-20,1,0,Competitor,58,32,94,132545,Negotiation,2024-03-06,1,1,new
109,260,2,6,1,1,1,173945,43493,2024-01-25,2024-01-25,2024-04-05,2024-03-05,0,0,No Decision,17,62,108,26538,Negotiation,2024-03-21,0,1,new
110,201,2,6,3,1,1,81536,211544,2023-09-02,2023-09-02,2023-11-29,2023-10-27,1,0,Timing,109,23,53,23196,Negotiation,2023-12-05,1,1,new
111,283,2,5,4,1,1,171357,26823,2023-07-08,2023-07-08,2023-08-08,2023-09-25,1,0,Budget,59,16,104,124583,Negotiation,2023-07-30,0,0,new
112,320,7,7,3,1,1,131725,245445,2023-05-19,2023-05-19,2023-08-13,2023-08-05,0,1,Competitor,97,66,97,95992,Negotiation,2023-07-30,1,1,new
113,178,2,5,1,1,1,115255,202579,2023-07-01,2023-07-01,2023-08-23,2023-09-20,0,1,Competitor,73,68,40,212392,Negotiation,2023-10-22,0,1,new
114,1,9,6,1,1,1,114266,205471,2023-05-26,2023-05-26,2023-08-05,2023-07-04,0,0,Timing,116,58,47,84853,Negotiation,2023-06-30,1,0,new
115,35,1,6,1,1,1,154481,213662,2023-05-06,2023-05-06,2023-05-31,2023-09-09,0,0,No Decision,118,108,20,31769,Negotiation,2023-09-14,1,1,new
116,209,8,6,2,1,1,143218,232478,2024-04-20,2024-04-20,2024-05-11,2024-08-18,1,0,Competitor,88,31,101,96227,Negotiation,2024-08-10,1,1,new
117,178,3,4,3,1,1,139273,24522,2024-08-28,2024-08-28,2024-10-27,2025-01-13,0,0,No Decision,59,59,48,42701,Negotiation,2025-01-01,1,0,new
118,45,4,6,2,1,1,40002,82732,2024-11-12,2024-11-12,2024-12-10,2025-02-21,0,1,Competitor,86,84,40,120709,Negotiation,2024-12-22,1,1,new
119,50,8,2,3,1,1,205866,35195,2024-05-03,2024-05-03,2024-07-05,2024-09-05,0,1,No Decision,8,98,96,112132,Negotiation,2024-06-10,0,1,new
120,287,10,6,3,1,1,119289,22691,2023-02-01,2023-02-01,2023-04-30,2023-06-11,0,0,Competitor,19,95,11,49731,Negotiation,2023-03-11,1,1,new
121,253,12,5,3,1,1,116242,170744,2023-03-16,2023-03-16,2023-04-11,2023-07-31,0,1,Timing,100,110,59,35476,Negotiation,2023-05-21,0,0,new
122,169,7,6,1,1,1,126139,200389,2023-09-06,2023-09-06,2023-10-01,2023-10-06,0,0,Budget,25,30,84,117405,Negotiation,2023-10-26,0,0,new
123,301,6,4,4,1,1,24831,35404,2024-04-11,2024-04-11,2024-06-08,2024-05-15,0,0,Competitor,22,96,69,18889,Negotiation,2024-07-25,0,1,new
124,2,10,5,4,1,1,111236,27651,2024-03-22,2024-03-22,2024-03-31,2024-07-26,0,0,Timing,33,7,97,93503,Negotiation,2024-04-21,1,0,new
125,187,4,4,1,1,1,208234,139360,2023-09-01,2023-09-01,2023-10-17,2023-12-07,0,0,Timing,105,90,65,131079,Negotiation,2023-11-07,1,1,new
126,32,3,6,1,1,1,46309,25632,2023-06-04,2023-06-04,2023-08-01,2023-10-18,0,0,Timing,52,39,10,225535,Negotiation,2023-09-15,1,0,new
127,244,9,5,3,1,1,34872,124201,2024-01-19,2024-01-19,2024-04-07,2024-04-21,1,0,Budget,60,118,36,21283,Negotiation,2024-05-30,1,0,new
128,71,5,1,2,1,1,31053,148585,2023-02-11,2023-02-11,2023-05-08,2023-04-20,0,1,Competitor,40,37,20,229865,Negotiation,2023-05-25,1,0,new
129,41,11,7,1,1,1,177104,40566,2023-06-14,2023-06-14,2023-07-23,2023-10-13,0,1,No Decision,7,30,41,230965,Negotiation,2023-09-14,1,1,new
130,91,7,6,1,1,1,213981,40624,2024-08-30,2024-08-30,2024-11-28,2025-01-15,0,0,Budget,72,39,72,224465,Negotiation,2024-10-11,0,0,new
131,297,12,7,2,1,1,75770,36135,2023-08-14,2023-08-14,2023-11-02,2023-12-13,1,0,Budget,119,12,114,24993,Negotiation,2023-09-21,1,1,new
132,214,9,6,1,1,1,38753,42631,2023-01-17,2023-01-17,2023-02-24,2023-02-13,1,0,Budget,5,45,9,218311,Negotiation,2023-02-12,0,1,new
133,146,10,5,2,1,1,34966,28525,2023-07-09,2023-07-09,2023-07-18,2023-11-08,1,0,Timing,78,75,71,27624,Negotiation,2023-09-05,0,1,new
134,123,8,5,4,1,1,211182,136053,2023-06-26,2023-06-26,2023-07-13,2023-08-19,0,0,Timing,65,35,109,24383,Negotiation,2023-08-05,0,0,new
135,253,3,6,3,1,1,117626,41357,2024-07-02,2024-07-02,2024-08-23,2024-10-09,0,0,Timing,16,82,64,115585,Negotiation,2024-08-28,0,1,new
136,296,3,2,3,1,1,42355,214945,2023-03-24,2023-03-24,2023-05-29,2023-04-14,0,1,Timing,14,30,107,124815,Negotiation,2023-07-10,1,1,new
137,213,12,3,3,1,1,97801,47746,2023-04-04,2023-04-04,2023-05-08,2023-07-15,0,0,Competitor,93,37,103,238124,Negotiation,2023-06-06,1,1,new
138,88,7,5,4,1,1,222396,141101,2023-04-14,2023-04-14,2023-05-28,2023-06-07,0,1,Budget,81,38,7,136634,Negotiation,2023-07-06,1,0,new
139,148,10,6,4,1,1,18207,144644,2023-10-16,2023-10-16,2023-12-31,2023-12-13,0,1,No Decision,106,53,114,16768,Negotiation,2023-12-21,1,0,new
140,190,2,1,3,1,1,15038,131761,2024-12-15,2024-12-15,2025-01-07,2025-04-05,1,0,No Decision,46,118,96,25936,Negotiation,2025-03-22,0,1,new
141,178,2,3,1,1,1,41481,155722,2024-04-05,2024-04-05,2024-06-20,2024-06-19,0,0,Competitor,52,6,5,38187,Negotiation,2024-04-28,1,0,new
142,239,11,5,4,1,1,32520,153864,2023-03-10,2023-03-10,2023-04-16,2023-05-27,0,1,No Decision,32,54,106,47037,Negotiation,2023-06-23,1,1,new
143,26,5,5,4,1,1,47185,147719,2024-08-01,2024-08-01,2024-08-10,2024-09-08,0,0,Budget,19,44,97,42646,Negotiation,2024-09-07,1,0,new
144,123,9,5,1,1,1,39845,125007,2023-09-03,2023-09-03,2023-11-09,2023-10-09,0,0,Competitor,70,13,48,227364,Negotiation,2023-12-17,1,1,new
145,312,11,7,2,1,1,188916,28264,2024-03-13,2024-03-13,2024-04-25,2024-07-22,1,0,Timing,71,88,49,21782,Negotiation,2024-06-25,1,1,new
146,57,3,5,4,1,1,35318,42284,2023-02-27,2023-02-27,2023-05-14,2023-06-15,1,0,Budget,17,36,90,238406,Negotiation,2023-05-12,0,0,new
147,47,10,5,2,1,1,189818,29029,2024-06-13,2024-06-13,2024-09-02,2024-10-28,1,0,Timing,12,117,51,172995,Negotiation,2024-10-10,0,1,new
148,248,10,5,3,1,1,164950,241154,2023-01-09,2023-01-09,2023-01-22,2023-04-24,0,1,No Decision,120,92,108,145166,Negotiation,2023-02-10,1,0,new
149,219,8,5,4,1,1,162357,15292,2024-03-11,2024-03-11,2024-04-26,2024-05-04,0,1,Competitor,65,104,76,43171,Negotiation,2024-06-30,1,0,new
150,174,5,4,4,1,1,35143,150313,2023-02-13,2023-02-13,2023-03-04,2023-04-20,0,0,No Decision,90,55,62,223754,Negotiation,2023-05-15,0,1,new
151,307,7,6,2,1,1,49576,32303,2024-10-08,2024-10-08,2024-12-08,2025-01-19,0,0,Budget,113,95,58,34474,Negotiation,2025-01-21,0,1,new
152,158,12,6,1,1,1,110137,73874,2024-12-29,2024-12-29,2025-01-21,2025-01-18,0,1,No Decision,26,49,107,201574,Negotiation,2025-04-24,1,1,new
153,56,4,5,2,1,1,66215,25796,2023-02-17,2023-02-17,2023-02-28,2023-04-18,1,0,No Decision,61,47,39,177709,Negotiation,2023-04-20,0,1,new
154,265,2,5,3,1,1,34883,136744,2023-06-01,2023-06-01,2023-07-25,2023-06-26,0,1,Competitor,80,37,19,21055,Negotiation,2023-10-01,1,1,new
155,207,9,1,2,1,1,59616,103907,2023-09-05,2023-09-05,2023-10-10,2024-01-17,1,0,No Decision,46,112,63,234536,Negotiation,2023-12-11,1,1,new
156,165,1,5,1,1,1,96450,41256,2024-01-22,2024-01-22,2024-03-15,2024-05-05,0,0,No Decision,44,75,11,36523,Negotiation,2024-04-01,1,0,new
157,64,4,5,4,1,1,23901,39210,2024-02-06,2024-02-06,2024-04-02,2024-04-15,1,0,Competitor,39,44,112,228048,Negotiation,2024-05-06,1,1,new
158,274,11,3,2,1,1,121535,189707,2023-01-02,2023-01-02,2023-02-17,2023-04-05,0,1,No Decision,39,120,62,87099,Negotiation,2023-04-05,1,1,new
159,307,5,1,3,1,1,194235,93250,2024-11-19,2024-11-19,2025-01-17,2024-12-25,1,0,No Decision,11,69,74,240971,Negotiation,2025-02-03,0,1,new
160,156,2,7,3,1,1,160900,56952,2024-09-03,2024-09-03,2024-10-01,2024-12-11,0,1,Timing,101,14,5,32983,Negotiation,2024-10-30,0,1,new
161,261,11,1,2,1,1,208167,79690,2024-07-19,2024-07-19,2024-09-14,2024-10-30,1,0,Competitor,104,73,22,56177,Negotiation,2024-11-18,1,1,new
